brewery_type,city,state,country,is_micro
brewpub,Duluth,Minnesota,United States,0
micro,Manchester,New Hampshire,United States,1
closed,Natchitoches,Louisiana,United States,0
bar,Singapore,Singapore,Singapore,0
brewpub,Indianapolis,Indiana,United States,0
brewpub,Columbus,Georgia,United States,0
micro,Golden,Colorado,United States,1
micro,Richmond,Virginia,United States,1
micro,Albuquerque,New Mexico,United States,1
micro,Canterbury,New Hampshire,United States,1
micro,Canton,Michigan,United States,1
brewpub,Canton,Ohio,United States,0
micro,Roscrea,Tipperary,Ireland,1
planning,Moraga,California,United States,0
micro,Billings,Montana,United States,1
brewpub,San Ramon,California,United States,0
brewpub,Gloucester,Massachusetts,United States,0
planning,Gloucester,Massachusetts,United States,0
micro,Paarl,Western Cape,South Africa,1
brewpub,Cape Charles,Virginia,United States,0
micro,Hyannis,Massachusetts,United States,1
micro,Cape May,New Jersey,United States,1
micro,Rio Grande,New Jersey,United States,1
micro,Cape Vincent,New York,United States,1
regional,Middleton,Wisconsin,United States,0
micro,Fyshwick,ACT,Australia,1
micro,Fyshwick,ACT,Australia,1
micro,Fyshwick,ACT,Australia,1
contract,Washington,District of Columbia,United States,0
brewpub,Basalt,Colorado,United States,0
micro,Hampton,Virginia,United States,1
micro,Hobart,TAS,Australia,1
micro,Goleta,California,United States,1
regional,Elmsford,New York,United States,0
micro,Lockhart,Texas,United States,1
micro,Stapylton,QLD,Australia,1
planning,Brazil,Indiana,United States,0
brewpub,Carbondale,Colorado,United States,0
micro,Burlington,Washington,United States,1
brewpub,Corning,New York,United States,0
brewpub,Dayton,Ohio,United States,0
micro,Carlingford,Louth,Ireland,1
micro,Bagenalstown,Carlow,Ireland,1
micro,Karlskrona,Blekinge,Sweden,1
large,Abbotsford,VIC,Australia,0
brewpub,Rockford,Illinois,United States,0
brewpub,Duluth,Minnesota,United States,0
brewpub,Anderson,South Carolina,United States,0
brewpub,Chapel Hill,North Carolina,United States,0
micro,Pittsboro,North Carolina,United States,1
micro,Holly Springs,North Carolina,United States,1
micro,Carroll,Iowa,United States,1
micro,Evansville,Indiana,United States,1
micro,Billings,Montana,United States,1
micro,Atlantic Highlands,New Jersey,United States,1
brewpub,Durango,Colorado,United States,0
brewpub,Cary,Illinois,United States,0
proprietor,Oxnard,California,United States,0
planning,Corrales,New Mexico,United States,0
large,South Hobart,TAS,Australia,0
brewpub,Portland,Oregon,United States,0
micro,Portland,Oregon,United States,1
